Lon Lat VE VN VU SE SN SU ID
-69.67 18.43 -2.839 -5.44 0.134 1.72 1.61 100 AMER*
-69.45 19.2 -11.649 -2.06 -2.243 0.74 0.72 100 ARRO*
-69.64 18.76 -5.791 -3.087 -1.17 0.74 0.72 100 BAYA*
-68.62 18.36 -4.172 -2.702 -1.151 0.74 0.72 100 BOCA*
-72.27 18.63 -6.772 -5.246 -0.38 2.21 2.01 100 BRPS*
-70.64 19.51 -14.453 -3.14 -2.103 1.13 1.01 100 CAMP*
-71.67 19.42 -8.092 -5.603 -0.377 0.55 0.52 100 CAP2*
-70.03 19.21 -10.808 -3.618 -1.502 0.74 0.72 100 CASX
-71.45 18.37 -4.258 -3.037 -1.021 0.64 0.62 100 COLO*
-70.77 18.92 -7.716 -2.901 -1.459 0.83 0.82 100 CONS*
-71.57 18.32 -2.652 -2.08 -1.242 0.74 0.72 100 ESCO*
-68.72 18.61 -5.014 -2.773 -1.214 0.74 0.72 100 HIGU*
-72.01 19.14 -6.085 -9.431 1.436 1.32 1.21 100 HINC*
-72.63 18.51 -4.706 -5.928 0.131 1.03 1.01 100 LEOG*
-71.03 19.74 -18.368 -5.364 -1.61 1.13 1.11 100 LHDG*
-70.53 19.38 -12.383 -2.309 -2.22 1.03 0.82 100 MOCA*
-71.15 19.41 -9.613 -4.349 -1.067 0.74 0.72 100 MONC*
-72.19 19.74 -11.694 -8.105 0.266 1.13 1.11 100 MTCH*
-72.34 18.54 -5.674 -3.472 -0.997 1.22 1.21 100 PAPH*
-72.29 18.51 -3.711 -2.906 -1.016 1.03 1.01 100 PETI*
-73.24 18.48 -4.348 -3.204 -0.962 1.52 1.41 100 PRDN*
-73.92 18.08 -2.443 -2.288 -1.133 1.32 1.11 100 PSLT*
-68.95 18.41 -1.201 -2.797 -0.784 1.82 1.71 100 ROMA*
-70.69 19.47 -9.559 -4.02 -1.197 1.03 1.01 100 SAGO*
-72.7 19.11 -8.448 -6.697 0.038 1.32 1.21 100 SAMA*
-69.88 18.47 -4.377 -3.447 -0.864 0.74 0.72 100 SDOM*
-69.39 19.06 -7.423 -3.491 -1.182 1.72 1.61 100 SMAR*
-69.5 19.32 -13.508 -2.244 -2.372 0.74 0.72 100 TERR*
